id,name,category,type,url,pricing,source
1,OpenAI Sora,video,Text-to-video,https://openai.com/sora,Paid,official
2,KLING AI,video,Text/Image-to-video,https://klingai.com/,Free/Paid,official
3,Hailuo AI Video,video,Text/Image-to-video,https://hailuoai.com/video,Free/Paid,official
4,Runway,video,Text/Image/Video-to-video,https://runwayml.com/,Paid/Trial,official
5,Dreamina,video,Text/Image-to-video,https://dreamina.capcut.com/,Free/Paid,official
6,Luma Dream Machine,video,Text/Image-to-video,https://lumalabs.ai/dream-machine,Free/Paid,official
7,Pika,video,Text/Image-to-video,https://pika.art/home,Paid/Trial,official
8,PixVerse,video,Text/Image-to-video,https://app.pixverse.ai/,Paid/Trial,official
9,Fliki,video,Text-to-video,https://fliki.ai/,Free/Paid,official
10,Vivago AI Video,video,Text/Image-to-video,https://vivago.ai/video,Free,official
11,Suno,music-audio,Text-to-music,https://www.suno.ai/,Free/Paid,official
12,Udio,music-audio,Text-to-music,https://www.udio.com/,Free/Paid,official
13,Stable Audio,music-audio,Music/SFX generation,https://www.stableaudio.com/,Free/Paid,official
14,ElevenLabs Sound Effects,music-audio,Text-to-sound,https://elevenlabs.io/app/sound-effects,Free/Paid,official
15,Bark,music-audio,Text-to-audio,https://github.com/suno-ai/bark,Free,github
16,Audiocraft,music-audio,Text-to-music,https://github.com/facebookresearch/audiocraft,Free,github
17,Coqui TTS,music-audio,Text-to-speech,https://github.com/coqui-ai/tts,Free,github
18,ChatTTS,music-audio,Dialogue TTS,https://github.com/2noise/ChatTTS,Free,github
19,Gemini API,multimodal-llm,Multimodal LLM,https://ai.google.dev/,Free/Paid,official
20,Google AI Studio,multimodal-llm,Model prototyping,https://aistudio.google.com/,Free,official
21,OpenRouter,multimodal-llm,Multi-model gateway API,https://openrouter.ai/,Free/Paid,official
22,Together AI,multimodal-llm,Inference cloud,https://www.together.ai/,Free/Paid,official
23,OpenAI Python SDK,multimodal-llm,SDK,https://github.com/openai/openai-python,Free,github
24,OpenAI Node SDK,multimodal-llm,SDK,https://github.com/openai/openai-node,Free,github
25,LangChain,multimodal-llm,Framework,https://github.com/langchain-ai/langchain,Free,github
26,OmniRoute,agent-infra,LLM router,https://github.com/diegosouzapw/OmniRoute,Free,github
27,NadirClaw,agent-infra,LLM router,https://github.com/doramirdor/NadirClaw,Free,github
28,Helicone,agent-infra,LLM observability,https://github.com/Helicone/helicone,Free/Paid,github
29,AutoGen,agent-infra,Agent framework,https://github.com/microsoft/autogen,Free,github
30,FastChat,agent-infra,Model serving/eval,https://github.com/lm-sys/FastChat,Free,github

